time_period,death_licenses
2023-01-01,20
2023-01-01,1015
2023-01-01,48
2023-02-01,12
2023-02-01,446
2023-02-01,27
2023-03-01,34
2023-03-01,923
2023-03-01,55
2023-04-01,17
2023-04-01,1588
2023-04-01,72
2023-05-01,8
2023-05-01,1926
2023-05-01,74
2023-06-01,24
2023-06-01,1842
2023-06-01,62
2023-07-01,394
2023-07-01,23
2023-08-01,6
2023-08-01,866
2023-08-01,40
2023-09-01,2
2023-09-01,1180
2023-09-01,86
2023-10-01,4
2023-10-01,1058
2023-10-01,120
2023-11-01,2
2023-11-01,1301
2023-11-01,155
2023-12-01,1
2023-12-01,510
2023-12-01,100
